Case,Block #,Num Nonces Tried,Computation Time
C,0,191,0.004998445510864258
C,1,45,0.002001523971557617
C,2,1054,0.039011478424072266
C,3,28,0.001001596450805664
C,4,285,0.011002302169799805
C,5,1820,0.06700015068054199
C,6,883,0.03200197219848633
C,7,131,0.005000114440917969
C,8,984,0.03600144386291504
C,9,157,0.00500035285949707
C,10,1503,0.054996490478515625
C,11,561,0.02099895477294922
C,12,4623,0.1699979305267334
C,13,32,0.001997232437133789
C,14,637,0.023001670837402344
C,15,379,0.013999700546264648
C,16,2331,0.08499717712402344
C,17,205,0.007997512817382812
C,18,4084,0.1510024070739746
C,19,1185,0.04700160026550293
C,20,782,0.027999162673950195
C,21,342,0.013000249862670898
C,22,6971,0.25359010696411133
C,23,416,0.014999866485595703
C,24,397,0.014999866485595703
C,25,804,0.029000282287597656
